,datetime,open,high,low,close,volume,minute
0,2023-03-10 14:30:00,130.64,131.1673,130.64,130.86,7502,30
1,2023-03-10 13:30:00,130.37,131.33,129.97,130.605,91540,30
2,2023-03-10 12:30:00,131.88,132.39999,130.0,130.25999,79428,30
3,2023-03-10 11:30:00,134.13,134.41,131.39999,131.82829,95190,30
4,2023-03-10 10:30:00,132.35001,134.13499,132.21001,134.05,88461,30
5,2023-03-10 09:30:00,133.91,134.05,130.09,132.14,162905,30
6,2023-03-09 15:30:00,134.515,135.05,134.23,134.25,225311,30
7,2023-03-09 14:30:00,134.88,135.42999,134.45,134.53,108055,30
8,2023-03-09 13:30:00,135.21001,135.57001,134.66499,134.89,92538,30
9,2023-03-09 12:30:00,135.965,136.03,135.075,135.17999,66295,30
10,2023-03-09 11:30:00,136.5,136.64999,135.39999,135.91499,72110,30
11,2023-03-09 10:30:00,138.0,138.25,136.14999,136.38,81528,30
12,2023-03-09 09:30:00,136.77,138.155,135.69,137.95,121039,30
13,2023-03-08 15:30:00,136.09,136.88,135.995,136.7,137246,30
14,2023-03-08 14:30:00,135.59,136.09,135.36,136.09,73314,30
15,2023-03-08 13:30:00,135.82001,136.035,135.33,135.60001,54084,30
16,2023-03-08 12:30:00,136.145,136.395,135.63499,135.73,48761,30
17,2023-03-08 11:30:00,135.47,136.83369,135.19,136.09,126240,30
18,2023-03-08 10:30:00,135.58,135.85001,135.035,135.4252,91249,30
19,2023-03-08 09:30:00,135.34,135.96001,134.0,135.42,80645,30
20,2023-03-07 15:30:00,135.125,135.42,134.67999,134.7,141464,30
21,2023-03-07 14:30:00,135.245,135.3773,134.78999,135.11,66212,30
22,2023-03-07 13:30:00,136.64,136.73219,135.14,135.27499,44741,30
23,2023-03-07 12:30:00,137.705,137.96001,136.575,136.7,41360,30
24,2023-03-07 11:30:00,137.0,137.94501,136.91,137.735,39741,30
25,2023-03-07 10:30:00,137.59,138.19,136.81,137.062,56701,30
26,2023-03-07 09:30:00,137.92,138.7728,136.39,137.63,114652,30
27,2023-03-06 15:30:00,136.92999,137.75999,136.92999,137.28,180663,30
28,2023-03-06 14:30:00,138.14,138.36501,136.88,136.88,119920,30
29,2023-03-06 13:30:00,138.375,138.42999,137.83,138.095,71729,30
30,2023-03-06 12:30:00,138.24001,138.41,137.72,138.38,75310,30
31,2023-03-06 11:30:00,138.72,138.97501,138.14,138.2,52723,30
32,2023-03-06 10:30:00,140.25,140.3,138.41,138.71001,73158,30
33,2023-03-06 09:30:00,139.33,140.60001,137.95,140.0601,110440,30
34,2023-03-03 15:30:00,138.69,138.98,138.44,138.75,143913,30
35,2023-03-03 14:30:00,139.325,139.52,138.71001,138.74001,66692,30
36,2023-03-03 13:30:00,139.25,139.36,138.94,139.36,31583,30
37,2023-03-03 12:30:00,139.77,139.81,139.00999,139.22501,43551,30
38,2023-03-03 11:30:00,138.855,139.87,138.745,139.87,45354,30
39,2023-03-03 10:30:00,139.27,139.315,138.0995,138.88451,48533,30
40,2023-03-03 09:30:00,138.67999,139.34,137.55,139.16,78171,30
41,2023-03-02 15:30:00,137.28,137.74001,137.19501,137.50999,170560,30
42,2023-03-02 14:30:00,137.24001,137.45,136.84,137.22,87236,30
43,2023-03-02 13:30:00,135.96001,137.28999,135.94501,137.24001,69175,30
44,2023-03-02 12:30:00,135.61,136.24001,135.59,135.96001,46018,30
45,2023-03-02 11:30:00,135.07001,135.53,134.73,135.53,41826,30
46,2023-03-02 10:30:00,134.77499,135.71001,134.59,135.05,59462,30
47,2023-03-02 09:30:00,133.92,134.85001,133.27,134.60001,68011,30
48,2023-03-01 15:30:00,135.96001,136.63,135.94,136.62,244904,30
49,2023-03-01 14:30:00,135.67999,136.16499,135.46001,135.985,100605,30
50,2023-03-01 13:30:00,136.05,136.25,135.62,135.64999,81302,30
51,2023-03-01 12:30:00,136.515,136.92999,136.01849,136.11501,72923,30
52,2023-03-01 11:30:00,135.58121,136.98,135.41,136.50999,76603,30
53,2023-03-01 10:30:00,136.27,136.95,135.25999,135.535,159914,30
54,2023-03-01 09:30:00,137.84,137.92,136.08,136.2,127613,30
55,2023-02-28 15:30:00,138.28999,138.44,137.89,137.97,193606,30
56,2023-02-28 14:30:00,138.37,138.67,138.14999,138.31,80521,30
57,2023-02-28 13:30:00,138.84,139.412,138.37,138.37,77304,30
58,2023-02-28 12:30:00,138.75999,138.89999,138.46001,138.8,44427,30
59,2023-02-28 11:30:00,139.21001,139.34,138.42999,138.83501,64298,30
60,2023-02-28 10:30:00,139.17999,139.28,138.2,139.21001,62856,30
61,2023-02-28 09:30:00,138.84,139.94,138.61,139.10001,39470,30
62,2023-02-27 15:30:00,138.69,139.05,138.39,138.95,149153,30
